# curie_map:
#   kgregistry: "https://kghub.org/kg-registry/"
#   infores: "https://bioregistry.io/registry/infores/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   semapv: "https://w3id.org/semapv/vocab/"
# mapping_set_id: kgregistry-infores-mappings
# mapping_set_version: 1.0.0
# mapping_set_description: "Mappings between KG-Registry resources and Information Resource (infores) identifiers"
# creator_id: claude-code
# mapping_date: 2025-01-03
# license: CC-BY-4.0
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
kgregistry:bgee	skos:exactMatch	infores:bgee	semapv:LexicalMatching	0.95	Exact ID match - Bgee database
kgregistry:bindingdb	skos:exactMatch	infores:bindingdb	semapv:LexicalMatching	0.95	Exact ID match - BindingDB
kgregistry:biogrid	skos:exactMatch	infores:biogrid	semapv:LexicalMatching	0.95	Exact ID match - BioGRID
kgregistry:chebi	skos:exactMatch	infores:chebi	semapv:LexicalMatching	0.95	Exact ID match - ChEBI
kgregistry:chembl	skos:exactMatch	infores:chembl	semapv:LexicalMatching	0.95	Exact ID match - ChEMBL
kgregistry:civic	skos:exactMatch	infores:civic	semapv:LexicalMatching	0.95	Exact ID match - CIViC
kgregistry:cl	skos:exactMatch	infores:cl	semapv:LexicalMatching	0.95	Exact ID match - Cell Ontology
kgregistry:clingen	skos:exactMatch	infores:clingen	semapv:LexicalMatching	0.95	Exact ID match - ClinGen
kgregistry:clinvar	skos:exactMatch	infores:clinvar	semapv:LexicalMatching	0.95	Exact ID match - ClinVar
kgregistry:cmap	skos:exactMatch	infores:cmap	semapv:LexicalMatching	0.95	Exact ID match - Connectivity Map
kgregistry:cosmic	skos:exactMatch	infores:cosmic	semapv:LexicalMatching	0.95	Exact ID match - COSMIC
kgregistry:ctd	skos:exactMatch	infores:ctd	semapv:LexicalMatching	0.95	Exact ID match - CTD
kgregistry:dbsnp	skos:exactMatch	infores:dbsnp	semapv:LexicalMatching	0.95	Exact ID match - dbSNP
kgregistry:depmap	skos:exactMatch	infores:depmap	semapv:LexicalMatching	0.95	Exact ID match - DepMap
kgregistry:dgidb	skos:exactMatch	infores:dgidb	semapv:LexicalMatching	0.95	Exact ID match - DGIdb
kgregistry:dictybase	skos:exactMatch	infores:dictybase	semapv:LexicalMatching	0.95	Exact ID match - dictyBase
kgregistry:diseases	skos:exactMatch	infores:diseases	semapv:LexicalMatching	0.95	Exact ID match - DISEASES
kgregistry:disgenet	skos:exactMatch	infores:disgenet	semapv:LexicalMatching	0.95	Exact ID match - DisGeNET
kgregistry:do	skos:exactMatch	infores:disease-ontology	semapv:LexicalMatching	0.90	ID mapping - Disease Ontology
kgregistry:drugbank	skos:exactMatch	infores:drugbank	semapv:LexicalMatching	0.95	Exact ID match - DrugBank
kgregistry:drugcentral	skos:exactMatch	infores:drugcentral	semapv:LexicalMatching	0.95	Exact ID match - DrugCentral
kgregistry:efo	skos:exactMatch	infores:efo	semapv:LexicalMatching	0.95	Exact ID match - EFO
kgregistry:ensembl	skos:exactMatch	infores:ensembl-gene	semapv:LexicalMatching	0.90	ID mapping - Ensembl
kgregistry:faers	skos:exactMatch	infores:faers	semapv:LexicalMatching	0.95	Exact ID match - FAERS
kgregistry:flybase	skos:exactMatch	infores:flybase	semapv:LexicalMatching	0.95	Exact ID match - FlyBase
kgregistry:foodb	skos:exactMatch	infores:foodb	semapv:LexicalMatching	0.95	Exact ID match - FooDB
