ID	Access Level and Types										Provenance of Nodes and Edges														Documented standards, schema, construction										Update frequency and versioning										Evaluation - Metrics and Fitness for Purpose										License Information
	access_otherthanKG_text	access_otherthanKG	api_or_online_access_text	api_or_online_access	multi_access_options_text	multi_access_options	sourcecode_available_text	sourcecode_available	downloadable_KG_text	downloadable_KG	source_list_provided_text	source_list_provided	source_versions_info_text	source_versions_info	import_dependancies_text	import_dependancies	node_edge_sources_text	node_edge_sources	edges_deduplication_text	edges_deduplication	triples_source_details_text	triples_source_details	edge_type_schema_text	edge_type_schema	bio_usable_data_text	bio_usable_data	resolvable_ids_text	resolvable_ids	construction_docs_text	construction_docs	transform_docs_text	transform_docs	schema_used_text	schema_used	stable_versions_text	stable_versions	public_tracker_text	public_tracker	kg_contact_info_text	kg_contact_info	updated_annually_text	updated_annually	prior_versions_access_text	prior_versions_access	use_case_provided_text	use_case_provided	eval_against_others_text	eval_against_others	defined_scope_text	defined_scope	multi_eval_methods_text	multi_eval_methods	accuracy_metrics_text	accuracy_metrics	License_text
alzkb		Y		Y		Y		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
biobricks-aopwiki		Y		N		N		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
biobricks-ice		Y		N		N		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
biobricks-mesh		Y		N		N		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
biobricks-pubchem-annotations		Y		N		N		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
biobricks-tox21		Y		N		N		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
biobricks-toxcast		Y		N		N		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
biohealth		Y		N		N		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
biomarker		Y		N		Y		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
cancer-registry-kg		Y		N		Y		N		Y		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		N		N		N		Y		N		Y		N		N	
catalogue-of-life		Y		Y		Y		Y		Y		Y		N		N		N		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
cfde-ddkg		Y		N		N		Y		N		Y		N		N		N		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
cfde-gse		Y		Y		Y		Y		Y		N		N		N		N		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
chea-kg		Y		Y		Y		Y		Y		N		N		N		N		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
cl-kg		Y		N		N		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
climatemodelskg		Y		N		N		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
clinical-data-kp		Y		N		N		N		N		N		N		N		N		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
cm4ai_talent_kg		Y		Y		N		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
connections-hypothesis-kp		Y		N		N		N		N		N		N		N		N		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
cpathkg		Y		N		N		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
dorothea		Y		Y		Y		N		Y		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		N		N		N		Y		N		Y		N		N	
dreamkg		Y		N		N		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
drkg		Y		N		Y		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
drug-approvals-kp		Y		N		Y		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
ebrains		Y		Y		Y		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
eco-kg		Y		N		Y		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
emikg		Y		Y		Y		N		N		N		Y		N		N		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
enrichr-kg		Y		Y		Y		Y		N		N		N		N		N		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
epigraphdb		Y		Y		Y		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
fiokg		Y		N		N		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
forum		Y		N		Y		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		N		Y		Y		Y		N		Y		N		N	
genetics-kp		N		N		N		N		N		N		N		N		N		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
genophenoenvo-kg		Y		N		Y		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		N		N		N		Y		N		Y		N		N	
geoconnex		Y		N		N		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
globi		Y		Y		Y		N		Y		Y		N		N		N		N		N		Y		Y		N		N		N		N		N		N		N		N		N		Y		N		Y		N		N	
gp-kg		Y		N		Y		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		N		Y		Y		Y		Y		N		Y		N		N	
harmonizome-kg		Y		Y		Y		Y		N		N		N		N		N		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
hydrologykg		Y		N		N		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
ibkh		Y		N		N		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
icees-kg		Y		Y		Y		Y		Y		Y		N		Y		Y		N		N		Y		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
identifier-mappings		Y		N		N		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
idisk		Y		N		N		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
ikraph		Y		Y		Y		Y		N		Y		N		Y		Y		N		N		Y		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
insight		Y		N		N		N		N		Y		N		N		N		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
