resource_id	category	status	declared_license	declared_tier	inferred_license	inferred_tier	inferred_from	unresolved_sources
aact	Aggregator	inferred			https://clinicaltrials.gov/about-site/terms-conditions	public domain	clinicaltrialsgov	
acukg	KnowledgeGraph	inferred			https://www.snomed.org/snomed-ct/get-snomed	custom	snomedct	
alliance	Aggregator	no-upstream	https://www.alliancegenome.org/privacy-warranty-licensing	custom				
alzkb	KnowledgeGraph	inferred			https://www.disgenet.com/Legal	custom	aop-db|disgenet	lincs-l1000|pid
annotator	Aggregator	no-upstream						
aop-db	Aggregator	declared	https://www.epa.gov/healthresearch/adverse-outcome-pathway-database-aop-db	custom	https://aopwiki.org/	custom	1000genomes|aop-wiki|ctd|disgenet	
aopwiki-rdf	KnowledgeGraph	conflict	https://creativecommons.org/licenses/by-sa/4.0/	copyleft	https://aopwiki.org/	custom	aop-wiki	
aragorn	Aggregator	no-upstream	https://opensource.org/license/mit/	permissive				
arax	Aggregator	no-upstream						
athena	Aggregator	inferred			https://loinc.org/license/	custom	loinc|snomedct	cdiscvocab|gemscript|icd10|medispan-gpi|rxnorm
atom	KnowledgeGraph	inferred			https://www.ncbi.nlm.nih.gov/home/about/policies/	public domain	pubmed	
automat	Aggregator	declared	https://biopragmatics.github.io/obo-db-ingest/	custom	https://ctdbase.org/about/legal.jsp	custom	ctd|goa|gtex	panther
bio101	KnowledgeGraph	conflict	https://creativecommons.org/licenses/by-nc-sa/3.0/	non-commercial	https://www.pearson.com/en-us/legal-information/terms-of-use.html	custom	campbell-biology	
bio2rdf	Aggregator	no-upstream	https://creativecommons.org/licenses/by/3.0/	permissive				
biobricks-aopwiki	KnowledgeGraph	inferred			https://aopwiki.org/	custom	aop-wiki	
biobricks-ice	KnowledgeGraph	declared	https://opensource.org/licenses/MIT	permissive	U.S. Government Work (public domain)	public domain	ice	
biobricks-mesh	KnowledgeGraph	inferred			https://www.nlm.nih.gov/databases/download/terms_and_conditions_mesh.html	permissive	mesh	
biobricks-pubchem-annotations	KnowledgeGraph	inferred			https://www.ncbi.nlm.nih.gov/home/about/policies/	public domain	pubchem	
biobricks-tox21	KnowledgeGraph	inferred			https://www.usa.gov/government-works	public domain	tox21	
biobricks-toxcast	KnowledgeGraph	inferred			https://www.epa.gov/privacy/privacy-and-security-notice	public domain	toxcast	
biobtree	KnowledgeGraph	conflict	https://www.gnu.org/licenses/agpl-3.0.en.html	copyleft	https://ctdbase.org/about/legal.jsp	custom	ctd|msigdb	mirdb|pdb|refseq
biogps	Aggregator	no-upstream						
biohealth	KnowledgeGraph	no-upstream						
biomarker	KnowledgeGraph	declared	https://creativecommons.org/licenses/by/4.0/	permissive	https://creativecommons.org/licenses/by/4.0/	permissive	glygen|obci|uberon	
biomarkerkg	KnowledgeGraph	no-upstream						
bioportal	Aggregator	no-upstream	https://www.bioontology.org/terms/	custom				
bioteque	KnowledgeGraph	inferred			https://depmap.org/portal/terms/	custom	achilles|cosmic|ctd|depmap|disgenet|gtex	chemicalchecker|clue|lincs|omnipath|prism
cam-kp	KnowledgeGraph	conflict	https://opensource.org/licenses/MIT	permissive	https://ctdbase.org/about/legal.jsp	custom	ctd	
cancer-registry-kg	KnowledgeGraph	declared	https://www.hhs.gov/open/public-access-guiding-principles/index.html	custom	https://www.naaccr.org/data-standards-data-dictionary/	custom	naaccr	kentucky-cancer-registry|louisiana-tumor-registry
cardiokg	KnowledgeGraph	conflict	https://opensource.org/license/mit/	permissive	https://www.disgenet.com/Legal	custom	disgenet|kegg|ukbiobank	
catalogue-of-life	KnowledgeGraph	declared	https://creativecommons.org/licenses/by/4.0/	permissive	https://creativecommons.org/publicdomain/zero/1.0/	public domain	gbif|itis	
cdiscvocab	Aggregator	no-upstream						
cfde-ddkg	KnowledgeGraph	inferred			https://uts.nlm.nih.gov/uts/	custom	ubkg|umls	
cfde-gse	KnowledgeGraph	conflict	https://creativecommons.org/licenses/by/4.0/	permissive	https://www.disgenet.com/Legal	custom	disgenet|gtex|kegg|msigdb	lincs
chea-kg	KnowledgeGraph	conflict	https://creativecommons.org/licenses/by-nc-sa/4.0/	non-commercial	https://www.gtexportal.org/home/license	custom	gtex	tcga
ciel	Aggregator	no-upstream	https://creativecommons.org/licenses/by/4.0/	permissive				
circbase	Aggregator	no-upstream	http://www.circbase.org/	custom				
ckg	KnowledgeGraph	conflict	https://opensource.org/licenses/MIT	permissive	https://www.cancergenomeinterpreter.org/conditions#license	custom	cancer-genome-interpreter|disgenet|snomedct	mutationds|oncokb|phosphositeplus|refseq|smpdb
cl-kg	KnowledgeGraph	declared	https://www.apache.org/licenses/LICENSE-2.0	permissive	http://creativecommons.org/licenses/by/4.0/	permissive	cellxgene|cl	
climatemodelskg	KnowledgeGraph	unresolved						
clinical-data-kp	KnowledgeGraph	no-upstream	https://creativecommons.org/licenses/by-nc-sa/4.0/	non-commercial				
clinicalkg	KnowledgeGraph	conflict	https://opensource.org/licenses/MIT	permissive	https://www.cancergenomeinterpreter.org/conditions#license	custom	cancer-genome-interpreter|disgenet|snomedct	mutationds|oncokb|phosphositeplus|refseq|smpdb
cm4ai_talent_kg	KnowledgeGraph	inferred			https://www.ncbi.nlm.nih.gov/home/about/policies/	public domain	pubmed-knowledge-graph	semantic-scholar
connections-hypothesis-kp	KnowledgeGraph	declared	https://www.apache.org/licenses/LICENSE-2.0	permissive				
courage	KnowledgeGraph	no-upstream	https://opendatacommons.org/licenses/by/1-0/	permissive				
cpathkg	KnowledgeGraph	inferred			https://creativecommons.org/publicdomain/zero/1.0/	public domain	biolink|kg-monarch	
cpdb	Aggregator	no-upstream	http://cpdb.molgen.mpg.de/	non-commercial				
crd	Aggregator	no-upstream						
ctkp	KnowledgeGraph	inferred			https://opensource.org/license/mit/	permissive	translator	
culture-knowledge-graph	KnowledgeGraph	no-upstream						
